,Epsilon_255,Accuracy_avg,Confidence_avg,Accuracy_min,Accuracy_max,Confidence_min,Confidence_max
0,0.0,0.981,0.8177617192268372,0.62,1.0,0.34927231073379517,0.9840023517608643
1,4.0,0.9662,0.767266035079956,0.324,1.0,0.3066127896308899,0.9739759564399719
2,10.0,0.9316,0.6807777285575867,0.0,1.0,0.25722935795783997,0.9486624598503113
3,20.0,0.8237,0.5284736752510071,0.0,1.0,0.20787754654884338,0.8669195771217346
4,30.0,0.6388,0.4044659435749054,0.0,1.0,0.17688165605068207,0.752920925617218
5,40.0,0.4016,0.3346325159072876,0.0,1.0,0.16058599948883057,0.6909328699111938
6,50.0,0.2138,0.30684608221054077,0.0,1.0,0.15174143016338348,0.691771388053894
7,60.0,0.1025,0.29942113161087036,0.0,1.0,0.1472068727016449,0.7005412578582764
8,90.0,0.0178,0.3113051950931549,0.0,0.356,0.14990173280239105,0.7204815745353699
