,Epsilon_255,Accuracy Top 1,Accuracy Top 5,Confidence
0,0.0,1.0,1.0,0.6868138313293457
1,2.0,0.4087677725118483,0.6812796208530806,0.23456953465938568
2,4.0,0.2381516587677725,0.4656398104265403,0.16301563382148743
3,10.0,0.12559241706161137,0.27014218009478674,0.13324995338916779
4,20.0,0.10071090047393365,0.22274881516587677,0.13598160445690155
5,30.0,0.10071090047393365,0.22511848341232227,0.14644268155097961
6,40.0,0.10545023696682465,0.24052132701421802,0.1573280394077301
7,50.0,0.11137440758293839,0.2523696682464455,0.1681138575077057
8,60.0,0.11255924170616113,0.2677725118483412,0.1763245314359665
9,90.0,0.11611374407582939,0.2725118483412322,0.19232413172721863
